# !SESSION 2021-12-11 17:35:50.649
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.179 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://МебельДомТорг/Configuration.CommandInterface#/] |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.180 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.181 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://МебельДомТорг/Configuration.CommandInterface#/, bm://МебельДомТорг/Configuration#/] |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.224 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.258 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/МебельДомТорг/src/Configuration/MainSectionCommandInterface.cmi : [com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@177c32c6] |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.260 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.261 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@177c32c6 |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.264 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@177c32c6 |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.265 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@177c32c6 |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.267 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://МебельДомТорг/Configuration.MainSectionCommandInterface#/] |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.269 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.270 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://МебельДомТорг/Configuration.MainSectionCommandInterface#/, bm://МебельДомТорг/Configuration#/] |
| Worker-6: Экспорт ресурсов проекта: МебельДомТорг | 2021-12-11 17:36:19.277 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
